,name,place_id,formatted_address,types,user_ratings_total,rating
39,Puncak Wanagiri,ChIJA-LqptiO0S0RvoHMiW8mfAE,"Jl. Raya Wanagiri, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia","tourist_attraction,point_of_interest,establishment",1734,4.6
40,Pengibul Waterfall,ChIJ05RvaKAX0i0R0GaluXYojxs,"Apuan, Susut, Bangli Regency, Bali 80515, Indonesia","tourist_attraction,point_of_interest,establishment",362,4.4
41,Pura Gunung Kawi Sebatu,ChIJ6WxHo60Y0i0RCfAEsPZKqkQ,"Sebatu, Tegallalang, Gianyar Regency, Bali 80511, Indonesia","hindu_temple,tourist_attraction,place_of_worship,point_of_interest,establishment",1722,4.6
42,Puncak Indah Bedugul,ChIJ-5G51WyJ0S0R3SGp5T1BdlA,"Puncak Indah Bedugul No.2, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",550,4.5
43,Secret Garden Village,ChIJhwAqoysh0i0R70f2yLfD06s,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","tourist_attraction,cafe,restaurant,food,point_of_interest,store,establishment",4723,4.6
44,Air Terjun Munduk,ChIJ4WuUswqG0S0R0_F7ENm3htc,"Jl Raya No.Desa, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia","tourist_attraction,point_of_interest,establishment",722,4.5
45,Pengempu Waterfall,ChIJZ7s1gUIj0i0RpJe0WNaJmLw,"G6J3+798, Jl. Seribupati, Cau Belayu, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia","tourist_attraction,point_of_interest,establishment",565,4.2
46,Wisata Kayu Putih,ChIJ0wc2QtEn0i0RIj-sp3iCImM,"H5VP+CR8, Tua, Marga, Tabanan Regency, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",253,4.7
47,Belulang Hot Springs,ChIJaV4g5mEm0i0RAjJX7VnZwf8,"Mengesta, Penebel, Tabanan Regency, Bali 82152, Indonesia","tourist_attraction,point_of_interest,establishment",564,4.3
48,DESA WISATA PINGE,ChIJU-tl2bcm0i0RwNe4LQjhgzQ,"J55H+VJF, Pinge Baru, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia","tourist_attraction,point_of_interest,establishment",220,4.5
