place_id,place_name,place_address,place_category,total_review,ave_rating,lat,long
ChIJg4U_eafCaC4RtJL_OrczonU,Al Islam Hospital,"Jl. Soekarno Hatta No.644, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia",hospital,1436,4.2,-6.9390073,107.6691759
ChIJN_fC0BfmaC4Ru35um3UkEUM,Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181, Indonesia",hospital,2211,3.8,-6.9154958,107.600376
ChIJ67iOZzrmaC4RHUTJZgyF108,Immanuel Hospital Bandung,"Jl. Raya Kopo No.161, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia",hospital,1071,4.0,-6.935990599999999,107.5965182
ChIJmWUO6R_vaC4REVS7Id74X5Y,RS Unggul Karsa Medika,"Taman Kopo Indah III Blok H-1, 40218, Mekar Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218, Indonesia",hospital,585,4.1,-6.970310800000001,107.5491866
ChIJWTAYp0LmaC4R5WtgJNL_etA,Dr. Hasan Sadikin Central General Hospital,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia",hospital,1810,3.0,-6.8981588,107.5983954
ChIJ74yBzZ_oaC4RxEJ1ORRVmuE,Special Hospital Maternal and Child,"Jl. Astana Anyar No.224, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242, Indonesia",hospital,247,3.5,-6.9292824,107.600473
ChIJe3de6C3maC4RG5EQreD2Gks,Rumah Sakit Umum Bungsu,"Jl. Veteran No.6, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112, Indonesia",hospital,153,3.7,-6.9185474,107.6133476
ChIJjwWot0DmaC4RrOe4Y3UOlz4,RSIA Melinda,"Jl. Pajajaran No.46, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",hospital,206,3.9,-6.9067915,107.6032684
ChIJ34uCIcH2aS4RniOvWHrTf_A,RSIA Grha Bunda,"Jl. Terusan Jakarta No.15 - 17, Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281, Indonesia",hospital,562,4.0,-6.9132346,107.6456023
ChIJO6Geb8DnaC4R0Jaq3Whs8Aw,Rumah Sakit Santo Yusup,"Jl. Cikutra No.7, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia",hospital,833,3.4,-6.9066719,107.6430629
ChIJU8k7DlHmaC4RQ2mUo1ERm1k,Santo Borromeus Hospital,"Jl. Ir. H. Juanda No.100, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",hospital,1389,3.8,-6.893995500000001,107.6136797
ChIJHaeYXQjnaC4RE3xFVajIIac,RS Sariningsih Martadinata,"LLRE Martadinata St No.9, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,229,3.4,-6.9066427,107.6112205
ChIJGXjSqfHoaC4R2YRE_C6goZU,Sartika Asih Hospital,"Jl. Moch. Toha No.369, Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat 40256, Indonesia",hospital,578,3.7,-6.956532699999999,107.6125792
ChIJmfy4JUDmaC4RiwHvdXQl1_4,Rumah Sakit Melinda 2,"Jl. Dr. Cipto No.1, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",hospital,1172,4.1,-6.9063167,107.5983705
ChIJM3AFyb_naC4RojnP2XrsxJ0,Ruang Fatimah - RS Santo Yusup Bandung,"3JWV+6JC, Jl. Cikutra, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia",hospital,1,1.0,-6.9044396,107.6440062
ChIJ1x3KqtfnaC4RNMKrUEhYTec,Rumah Sakit Umum Pindad Bandung,"Jl. Gatot Subroto No.517, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285, Indonesia",hospital,478,3.9,-6.940032,107.6462231
ChIJU_KZChHmaC4RhL6i89vl5_g,Rumah Sakit Kebon Jati,"Jl. Kebon Jati No.152, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40182, Indonesia",hospital,446,2.3,-6.9161037,107.5963194
ChIJd9Lo22XmaC4R1JL-X9GTkW0,Hermina Hospital Pasteur,"Jl. Dr. Djunjunan No.107, Pasteur, Kec. Cicendo, Kota Bandung, Jawa Barat 40173, Indonesia",hospital,3059,4.5,-6.8958508,107.5888307
ChIJRZMqpQ_paC4RqbSvTPjNDQU,Rumah Sakit Umum Daerah Bandung Kiwari - Kota Bandung,"Jl. Raya Kopo No.311, RT.03/RW.05, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia",hospital,619,4.0,-6.9432643,107.5914246
ChIJncRyyhLlaC4RaOVGqMoqCNg,Rumah Sakit Di Bandung,"4HCC+Q57, Setra Duta Raya, Ciwaruga, Kec. Cimahi Utara, Kabupaten Bandung Barat, Jawa Barat 40514, Indonesia",hospital,1,1.0,-6.878088699999999,107.5704189
ChIJ5XeN2C3maC4R6zmzu6fdqaY,Rumah Sakit Veteran,"Jalan Veteran No. 6, Kebon Pisang, Sumur Bandung, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",hospital,1,5.0,-6.9194264,107.6156944
ChIJzajGNMLmaC4RDDtuCs_DLKI,Rumah Sakit Angkatan Udara (RSAU) dr. M. Salamun,"Jl. Ciumbuleuit No.203, Ciumbuleuit, Kec. Cidadap, Kota Bandung, Jawa Barat 40142, Indonesia",hospital,2022,4.4,-6.8641692,107.604702
ChIJNb2mzcbnaC4RdFFxWOW-b8g,Rumah Sakit Ibu dan Anak Al Islam,"Jl. Awi Bitung No.29-31, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121, Indonesia",hospital,252,3.6,-6.9091979,107.6388016
ChIJJXpkAUrmaC4R_lugSa7p93A,Halmahera Siaga Hospital,"LLRE Martadinata St No.28, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,254,4.1,-6.9067647,107.6157429
ChIJSYe2VDzmaC4R-iWHZiNsF4Q,East Wing RS Santosa Bandung,"Jl. Kebon Jati No.32, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181, Indonesia",hospital,2,5.0,-6.9154049,107.6008491
ChIJg9Yvi4zdaC4ROWRbZXY8IWE,Rumah sakit ujungberung,"Jl. Rumah Sakit No.22, Pakemitan, Kec. Cinambo, Kota Bandung, Jawa Barat 40294, Indonesia",hospital,31,1.8,-6.9157885,107.6990055
ChIJsUMAwv_maC4RrUjDJPUCHdE,Rumah Sakit Khusus Ginjal Ny. R.A. Habibie,"Jl. Tubagus Ismail No.46, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40134, Indonesia",hospital,387,4.4,-6.885415399999999,107.6203514
ChIJnZgZZjbnaC4Rh3WwleXsAKw,MEDICAL SCIENCE CENTER RSP UNPAD BANDUNG,"Gedung RSP UNPAD, Jl. Prof. Eyckman No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia",hospital,3,5.0,-6.8957296,107.5988751
ChIJ64eVP6XnaC4R1qEbO2TOwGM,Rumah Sakit Kartini Bandung,"Jl. Pahlawan No.48, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40124, Indonesia",hospital,113,3.7,-6.897315000000001,107.6345952
ChIJ5wY_MEECaS4RfrATTWCaZFs,Santosa Hospital Bandung Kopo,"Jl. Raya Kopo No.461-463, Cirangrang, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40227, Indonesia",hospital,989,3.3,-6.9528156,107.586673
ChIJV7lvlAnlaC4RAIjiEESeMc0,rumah sakit cijerah medika,"Jl. Raya Cijerah No.41, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40213, Indonesia",hospital,0,0.0,-6.9186215,107.5705025
ChIJZVNx4EbdaC4RmQ_3dXVtsus,Hermina Arcamanik Hospital,"Jl. A.H. Nasution No.50, Antapani Wetan, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",hospital,3639,4.4,-6.904909,107.666749
ChIJ1Y-baUDmaC4RjomNOOok4Os,dr. Riadi di Melinda Hospital,"Jl. Pajajaran No.46, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",hospital,0,0.0,-6.906572,107.59979
ChIJByzzHkrmaC4RNBDZLQ5jOuk,Rumah Sakit Sari Nengsih,"3JV8+C8P, LLRE Martadinata St, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,0,0.0,-6.9064103,107.6158421
ChIJ6-pgVn7naC4RGSp0h1yMzfE,R.S Bungsu,"Jl. Naripan No.38, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112, Indonesia",hospital,6,2.8,-6.9205812,107.6136795
ChIJWyUR1wzpaC4Ri6Re4Xaogek,Mayapada Hospital Bandung (MHBD),"Jl. Terusan Buah Batu No.5, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266, Indonesia",hospital,339,4.8,-6.948580799999999,107.6347498
ChIJQyyCHUrmaC4RjSJYSxRaUko,Unit Gawat Darurat Rumah Sakit Bedah Halmahera Siaga,"3JV8+87V, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,5,5.0,-6.9066353,107.6156595
ChIJnffUpNfnaC4R7KoXgVpVsGk,Rumah Sakit KCK Pindad,"3JFJ+RG9, Jl. Gatot Subroto, Lkr. Sel., Kec. Lengkong, Kota Bandung, Jawa Barat, Indonesia",hospital,0,0.0,-6.925456,107.63135
ChIJRdmXixjoaC4RifEFHLcPjbo,Rumah Sakit Dharmapoetra H,"Jalan Margahayu Raya Barat VIII No. 20, Sekejati, Buahbatu, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia",hospital,0,0.0,-6.94581,107.660286
ChIJvQrJWyjmaC4RozSgABQRtcI,Rumah Sakit Bersalin Astanaanyar,"Jl. Astana Anyar No.224, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40242, Indonesia",hospital,0,0.0,-6.925961,107.6117
ChIJDUtfgjLmaC4Rm7dAPxfiEgk,klinikk Anggrek RSHS Bandung,"3JM9+2M3, Kebon Pisang, Sumurbandung, Bandung City, West Java 40112, Indonesia",hospital,0,0.0,-6.917476499999999,107.6191593
ChIJ5_GniaLoaC4RmlfpKGQEHss,Klinik Sub Spesialis RS.Immanuel,"Jl. Leuwi Panjang No.33, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40234, Indonesia",hospital,5,4.0,-6.9365903,107.5968827
ChIJA0imOLHpaC4ROtmruUVpLRs,RSB Harapan Keluarga,"Jl. Pasir Salam No.6-8, Ancol, Kec. Regol, Kota Bandung, Jawa Barat 40254, Indonesia",hospital,7,4.9,-6.9452772,107.6167616
ChIJi4pq_lXmaC4RKKCNbf6m_R0,Rumah Sakit PTP VIII Yung Huhn,"Jl. Ir. H. Juanda No.107, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",hospital,0,0.0,-6.8870764,107.6157185
ChIJqTRl6krmaC4RxG7JBBU-i5k,RSIA Tedja,"LLRE Martadinata St No.97, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",hospital,1,5.0,-6.905516599999999,107.6200671
ChIJt4Dr0e_maC4RGBh7VAt45MM,Dr. H. A. Rotinsulu Lung Hospital,"Jl. Bukit Jarian No.40, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141, Indonesia",hospital,389,3.9,-6.877633899999999,107.6065216
ChIJ44OAROXpaC4R8CYNnPLGUWs,RSJP Paramarta – Rumah Sakit Khusus Jantung & Pembuluh Darah Paramarta Bandung,"Jl. Soekarno Hatta No.581, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40266, Indonesia",hospital,77,4.7,-6.945653099999999,107.6405235
ChIJmWFGlvHnaC4RdmCNsv54v-w,Rumah Sakit Mata,"4J33+CV4, Tamansari, Bandung Wetan, Bandung City, West Java 40116, Indonesia",hospital,0,0.0,-6.8964823,107.6047023
