place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,food,liquor_store,lodging,meal_delivery,meal_takeaway,night_club,restaurant,school,store
ChIJhYe90IdH0i0R3qavUpKXm_Q,Iwa Restaurant at Hotel Tugu Bali,"Jl. Pantai Batu Bolong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,132,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJu1ylVQxH0i0Rq2OcjxipzTU,FIRE,"Jl. Petitenget Kerobokan, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,275,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJh3iFG8Rc0i0Rdn7vSvmbcTA,Paon Bali Resto & Bar,"56F9+GHP, Benoa, South Kuta, Badung Regency, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,31,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJqeMeDN1G0i0R3f77UJU73Os,Balibagus Resto,"Jln Padma Utara St Legian Kuta, Legian, Kec. Kuta, Kabupaten Bandung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,97,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJKWD5VBdH0i0ReivZYCJIm24,BATIK Restaurant Bar,"Jalan Kayu Aya, Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Bali, 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1285,4.5,0,0,1,0,1,0,0,0,0,0,1,0,0
ChIJo1GWBj490i0RXWp2SA0I2ZA,BLANCO par Mandif,"Kompleks Museum Blanco, Jl. Raya Tjampuhan, Ubud, Sayan, Kec. Gianyar, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,268,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJYewZo6RG0i0Rz6Dix0xA-dk,Gabah Restaurant & Bar,"Jalan Bakung Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,669,4.2,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJHYu1nRlH0i0RdPb1-zIWMgw,Mauri Restaurant,"Jl. Petitenget No.100, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,677,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJURMfBbYi0i0RFB8UdQswuY4,Jungle Fish Bali,"Jl. Raya Sebali, Keliki, Kec. Payangan, Kabupaten Gianyar, Bali 80561, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1458,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ2e7HkX4i0i0R_Xq96K4pFd8,Boni Bali Restaurant,"Jl. Pakudui, Kedisan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,156,4.3,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJQZUR291G0i0RW9WfrUPX4jI,Chapter 2 Restaurant & Bar,"8528+6VC, Jl. Werkudara, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,481,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJdZa5pqdD0i0R6S9PqkjLIFY,Bumbu Bali Restaurant & Cooking School,"Jl. Pratama, Tanjung, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,905,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJZRao86M90i0RWDXbSIypCzw,Wedja Bali,"Jl. Ambarwati No.1, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,799,4.8,0,0,0,1,1,0,0,0,0,0,1,0,0
ChIJE1ain2xH0i0RUX3mQnPBkVg,Pendopo Bali,"Jl. Petitenget No.25, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,10,4.4,0,0,0,1,1,0,0,0,0,0,1,0,0
ChIJucE2utxG0i0RwWfd1phccH8,Bale Banjar Restaurant,"Jl. Melasti Legian Kelod, Legian, Kec. Kuta, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,10,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ63XU7Lwi0i0R1SXlTl1pUx4,Labak Sari Restaurant,"Jl. Tirta Tawar, Br. Abangan, 80571, Ubud 80571, Ubud, Tegallalang, Gianyar Regency, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,497,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ7aMbz9Ii0i0RoGosbyjUuNs,Kubu at Mandapa,"Jl. Raya Kedewatan, Banjar, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,269,4.8,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJQVn3YsdG0i0R9PrNddjDEVY,Nasi Bali Restaurant Legian,"Jln Legian No.155, Kuta, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,176,4.3,0,0,1,0,1,0,0,0,0,1,1,0,0
ChIJ32RppuFG0i0RX2mUvnb758E,The Plantation Grill - Seminyak,"Seminyak, Kuta, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,477,4.7,0,0,1,0,1,0,0,0,0,0,1,0,0
ChIJj0tR_mpH0i0RP5h_ieNuzAs,La Baracca Bali,"Petitenget St No.17D, Kerobokan, Kuta Utara, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,796,4.3,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJsZNw9T1D0i0R5jJEUBWUOC4,Raja Bali - Balinese Authentic Restaurant & Activities (Main Restaurant),"Jl. Pratama No.808 B, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,31,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJm_sdCNNc0i0RIJmaIzLcoJA,Kayuputi Restaurant,"Kawasan Pariwisata, Nusa Dua, Badung Regency, Bali 80363, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,423,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ33dBrSU90i0RLfghMTgPn_c,The Sayan House,"Jl. Raya Sayan No.70, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1535,4.6,0,0,1,0,1,0,0,0,0,0,1,0,0
ChIJTd5rcPY90i0Roq75vXLBX0s,Bali Moon Resto,"C7XJ+XMJ, Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,155,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJJQRm22tH0i0Ri039M0Bg1yE,Nook,"Jl. Umalas 1 No.3, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,10692,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJJR9--cr10S0R-jkErGbhQ2w,The Amora Bali,"Penelokan Main Rd No.999, Central Batur, Kintamani, Bangli Regency, Bali 80652, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2574,4.4,0,0,0,1,1,0,0,0,0,0,1,0,1
ChIJnR2CHVMn0i0RTMiLHPH3cfU,Samiya Restaurant,"Banjar Pacung, Jl. Baturiti - Mekarsari, Mekarsari, Baturiti, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,128,4.3,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJDwSD1V9H0i0RJmcyC7pyQM8,Jaansan Bali Restaurant,"Jl. Petitenget No.40X, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,481,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJk0rRixJH0i0RLUg5-J_2IEE,Merah Putih,"Jl. Petitenget No.100X, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1762,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
