place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,amusement_park,aquarium,art_gallery,cafe,church,food,hindu_temple,library,local_government_office,lodging,mosque,museum,natural_feature,park,place_of_worship,restaurant,rv_park,school,shopping_mall,store,travel_agency,zoo
ChIJaV4g5mEm0i0RAjJX7VnZwf8,Belulang Hot Springs,"Mengesta, Penebel, Tabanan Regency, Bali 82152, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,564,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJU-tl2bcm0i0RwNe4LQjhgzQ,DESA WISATA PINGE,"J55H+VJF, Pinge Baru, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,220,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJpR8_7qCJ0S0RHlO03mW65YY,The Blooms Garden,"Br. Batusesa, Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,3365,4.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ChIJqY3rbqsm0i0RaRCP8rUVSqw,Bayan Ancient Tree,"H5VP+9QF, Tua, Marga, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,374,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ1U5QMNBD0i0R4709gsQdZNU,Pantai Tanjung Benoa,"Tanjung Benoa, South Kuta, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,14,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ_____8OJ0S0RzYLkKOcHW_M,Air Panas Angseri,"J5W4+GFX, Angseri, Bangli, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1404,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ-2Zw47yJ0S0RRdldgViSw_M,The SILA'S Agrotourism,"Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2495,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJlXqFDewg0i0RfC9vctP8sUM,Batu Lantang Waterfall,"J6X9+JP2, Pelaga, Petang, Badung Regency, Bali 80353, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,46,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ2fmvVJdp0S0RcMeSosWckHw,Gili Putih Sumberkima,"Sumberkima, Buleleng Regency, Bali 81155, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,181,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJkRg4rWAI0i0RJV8SNFD1sTg,Pantai Jasri,"GJ9C+WC9, Unnamed Road, Gg. Kangkung, Subagan, Kec. Karangasem, Kabupaten Karangasem, Bali 80811, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,236,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
