place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJYxkucDyNaS4RbXvs_9HL9vg,Safaraz Garden near Galaxy Bekasi RedPartner,"24 Jalan Pemuda Patriot, Kranji, RT.002/RW.003, Jakasampurna, Bekasi Barat, Bekasi City, West Java 17135, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,87,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJy8OQ5kj1aS4RsulV60rBepA,Hotel Santika Kelapa Gading,"Mahaka Square, Blok HF3, Jl. Raya Kelapa Nias, RT.8/RW.6, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,4212,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJRSlfzCX0aS4RchFxSsiVtHs,ARTOTEL Thamrin - Jakarta,"Jl. Sunda No.3, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,4190,4.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJY3AKPEHxaS4Rvipey7lU_4U,Sleepzzz Hotel Senayan,"Jl. Senayan No.29, RT.8/RW.5, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,885,3.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ995YfJT1aS4RPjwhuAvNjRM,"Holiday Inn Express Jakarta International Expo, an IHG Hotel","Arena Pekan Raya Jkt - Kemayoran, Jl. H. Benyamin Sueb, Pademangan Tim., Kec. Kemayoran, Jakarta, Daerah Khusus Ibukota Jakarta 10620, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2606,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ_ckRHN_zaS4RDhj-cV9ww9E,Front One Residence Syariah Mampang,"5, Jl. Mampang Prapatan I No.60, RW.6, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,228,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJu-y7q3LzaS4RVHoqGQZZG8M,Best Western Premier The Hive,"Jl. DI. Panjaitan No.Kav. 3-4, RT.7/RW.11, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,8095,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJZTtywAj0aS4R1wbbciuT7Xc,Gran Meliá Jakarta,"Jl. H. R. Rasuna Said No.5 4, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,8319,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJR9XADBj0aS4RvG0hH4Wd87Y,"Hotel Des Indes, Menteng","1, Jl. HOS. Cokroaminoto No.84 - 86, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,791,4.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJFQ2Aygf0aS4Ryyou_OSUoWA,"Treehouse Suites at Kuningan, Jakarta","Kuningan Village, Jl. Karbela No.1A, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,236,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
