,name,place_id,formatted_address,types,user_ratings_total,rating
55,Eastin Ashta Resort,ChIJXdu3inc40i0R-VVLM798MjY,"Jl. Munduk Catu No.8, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",747,4.6
56,Serela Kuta,ChIJiflYIMlG0i0RkBPfzPIbEXw,"Jalan Raya Kuta No. 42 XX, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",587,3.9
57,Hotel Losari Sunset Road,ChIJrRU5gc9G0i0RSO7B-6hL2Gs,"Ruko Pertokoan Sunset Paradise, Jl. Sunset Road No.169, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",621,4.0
58,Kuta Central Park Hotel Bali,ChIJre2KWMhG0i0RgTWOu-9SEiQ,"Jl. Patih Jelantik, Kuta, Badung, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",3893,4.3
59,Bali Hotel | Zizz Convention Hotel,ChIJh3Otubc40i0RQF9fGX8iQ14,"Jln. Mudutaki V No.2 Tegal Jaya, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80117, Indonesia","lodging,point_of_interest,establishment",533,4.0
60,Yan's House Hotel Bali,ChIJGZss5eRH0i0R18RbTHvkuu0,"Jl. Kartika Plaza No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",701,4.6
61,The Aromas of Bali Hotel & Residence,ChIJVf7lJsdG0i0RP3WUOYYjEN0,"Jl. Lb. Bene, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",880,3.7
62,Blu-Zea Resort by Double-Six,ChIJx6BJIcZG0i0RtIyDrVEoxJI,"Jl. Camplung Tanduk No.66, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","spa,lodging,point_of_interest,establishment",934,4.6
63,Bali Summer Hotel,ChIJwRf1a7tG0i0RzGDMpoaDdJs,"Jl. Pantai Kuta No.38, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",513,4.0
64,Amadea Resort & Villas,ChIJGwTW4RlH0i0RSU-EOx8spQ0,"Jalan Kayu Aya, Seminyak, Kuta, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 81360, Indonesia","lodging,point_of_interest,establishment",880,4.5
65,Rumah Luwih,ChIJVSCkrkEU0i0RPk5vn3xOj-U,"Jl. Prof Ida Bagus Mantra Km. 19,9, Lebih, Kec. Gianyar, Kabupaten Gianyar, Bali, Indonesia","lodging,point_of_interest,establishment",1796,4.6
66,The Kanjeng Resort Ubud,ChIJceBmSrEi0i0R5JNVm0TQ3xo,"Jalan Tirta Tawar Petulu Ubud, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571, Indonesia","lodging,point_of_interest,establishment",297,4.3
67,The Kanjeng Suites & Villas Seminyak,ChIJVa4zwBlH0i0RUelVcJh2Ycs,"Jl. Dewi Saraswati III No.39, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","spa,lodging,point_of_interest,establishment",303,3.0
68,BOSS Legian Hotel,ChIJweltzkBH0i0RHX1dOaIkssM,"Jl. Werkudara Jl. Raya Legian No.465, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",383,4.1
69,Candi Beach Resort & Spa Bali,ChIJlXXulRsP0i0RuUqvh5LBOCg,"Jl. Mendira, Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali 80871, Indonesia","lodging,point_of_interest,establishment",1523,4.6
70,Bali Bungalo,ChIJK55MEbxG0i0RHwObMswKofo,"Jl. Pantai Kuta Gg. Wina, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",186,4.1
71,Ananta Legian Hotel,ChIJD9f8acNG0i0RR93P1vUlnUI,"Jl. Werkudara No.539, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",294,3.9
72,Zest Legian by Swiss-Belhotel International,ChIJ6Qh58t1G0i0R3Xxbdom7lrs,"Jl. Werkudara No.525, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",760,4.4
73,Dekuta Hotel,ChIJlXrcur5G0i0Ri7AECxspaOc,"Jl Poppies Lane 2 no 8, Kuta, Kec. Kuta, Kota Denpasar, Bali 80361, Indonesia","lodging,point_of_interest,establishment",631,4.3
74,The Capital Hotel & Resort Bali,ChIJ6yhnR7RH0i0RcT-JCd21mEQ,"Jl. Petitenget No.89, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",474,4.3
75,The Vira Bali Boutique Hotel & Suite,ChIJefVGxaFG0i0Rgft2KkkThzI,"Jl. Kartika Plaza No.127, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",758,4.5
76,Hotel Santika Siligita Nusa Dua - Bali,ChIJFf8ZvTFD0i0RRfU7a5GLS3U,"Jl. Pintas Siligita No. 3A Banjar Peminge Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80571, Indonesia","lodging,point_of_interest,establishment",1752,4.4
77,HARRIS Hotel & Conventions Denpasar - Bali,ChIJd4MeLlw_0i0RDunpCKU5Tuw,"Cokroaminoto St No.23-25, Pemecutan Kaja, Denpasar Utara, Denpasar City, Bali 80118, Indonesia","lodging,point_of_interest,establishment",3116,4.4
78,Legian Paradiso Hotel,ChIJZ0Aov8ZG0i0RiqFGF6nIJzU,"Jln Legian No.118, Legian, Badung, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1408,4.0
79,Paragon Hotel Seminyak,ChIJi41JZW1H0i0Rm-XUBAMH25o,"Seminyak Jl. Batu Belig No.555, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",757,4.1
80,Rofa Kuta Hotel (ex-Hardys Rofa Hotel Kuta),ChIJaZrr6dBG0i0RnROBmlAgdaE,"Jl. Nakula No.9, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2288,4.1
81,HARRIS Hotel Seminyak,ChIJyTrSSB9H0i0Re-GVZuGLmjA,"Jl. Drupadi No.99, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2184,4.3
82,The Lovina Bali Resort,ChIJL05V6xab0S0RfhPEN-M46ZU,"Kalibukbuk, Jl. Mas Lovina, Kabupaten Buleleng, Bali 81151, Indonesia","lodging,point_of_interest,establishment",1278,4.6
83,U Paasha Seminyak Bali,ChIJo8o9ABpH0i0RYkLcdhPDQno,"Jl. Kayu Aya No.78, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",935,4.6
84,Bali Breezz Hotel,ChIJTd5PpGZE0i0R51Ml_PXO47Q,"Jl. Pantai Sari No.23, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",489,4.2
85,Samanvaya Luxury Resort & Spa - Adults Only,ChIJk2was3cQ0i0R4wF_LpZq3tQ,"Banjar Jl. Raya Tebola, Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","spa,lodging,restaurant,food,point_of_interest,establishment",615,4.9
86,Grand Mega Resort & Spa Bali,ChIJtZQ2FbJG0i0RCVpQrXDV9E8,"Simpang Siur, Jl. Bypass Ngurah Rai No.234, Pemogan, Denpasar Selatan, Kabupaten Badung, Bali 80361, Indonesia","spa,lodging,point_of_interest,establishment",2320,4.1
87,AMNAYA Resort Kuta,ChIJ17pob6FG0i0RgPPcVKAcjR8,"Jl. Kartika Plaza Gg. Puspa Ayu No.99, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2814,4.7
88,Bali Taman Beach Resort and Spa-Lovina,ChIJKSedFfya0S0RzaceujoFDm4,"Jl. Seririt- Singaraja No.KM.6, Tukadmungga, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia","spa,lodging,point_of_interest,establishment",914,4.5
89,Golden Tulip Jineng Resort,ChIJcThU8bNG0i0RZ7lT2DFZLQU,"Jl. Sunset Road No.98, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","gym,spa,bar,night_club,lodging,restaurant,food,point_of_interest,health,establishment",1019,4.3
90,The Trans Resort Bali,ChIJSdIXcT1H0i0R0vTqmwjznss,"Jalan Sunset Road, Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",5249,4.7
91,Grand Sovereign Kuta Bali,ChIJsycmYQVE0i0RvWeILlRy5x4,"Jl. Raya Tuban, Lingkungan Griya No.2, Tuban, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2798,4.3
92,Champlung Mas Hotel Kuta Legian,ChIJXw77_sNG0i0RnZPG06LeGoU,"Jl. Lb. Bene, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1262,4.0
93,Sun Island Hotel & Spa Legian,ChIJRcb-fMdG0i0RHBjPib1fZtc,"Jln Legian No.123, Kuta, Badung Regency, Bali 80361, Indonesia","lodging,spa,point_of_interest,establishment",679,4.2
94,Sulis Beach Hotel & Spa,ChIJA43JKyBE0i0RrHuTaegoheI,"Jl. Wana Segara, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1113,4.6
95,The Lerina Hotel Nusa Dua - Bali,ChIJYcnObW9D0i0R5QwHP1eh7j8,"Jl. Bypass Ngurah Rai No.1001X, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1791,4.3
96,OYO 90311 Hotel Damai,ChIJ-2pFIcZG0i0RG3RgU09G8-o,"Jl. Patih Jelantik, Dauh Puri Klod, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia","lodging,point_of_interest,establishment",204,3.8
97,Sun Island Hotel & Spa Kuta,ChIJn2RHm6FG0i0RZLWDXHqxsBk,"Jl. Kartika Plaza No.88, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,spa,point_of_interest,establishment",1086,4.3
98,Athaya Ubud,ChIJOavtiJk90i0RcRr0zWZrT4E,"Jl. Pengosekan, Br Kumbuh - Mas, MAS, Ubud, Kabupaten Gianyar, Bali, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","lodging,point_of_interest,establishment",182,4.6
99,Maya Sanur Resort & Spa,ChIJm8XKLsZB0i0R6QtMj8jLCA8,"Jl. Danau Tamblingan No.89M, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia","lodging,point_of_interest,establishment",2309,4.7
100,Grand Istana Rama Hotel Bali,ChIJZevwCr9G0i0R_xM2lOlums0,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1747,4.3
101,Hotel Taum Resort Bali,ChIJF4CNmq9G0i0RRg3sA6QLidk,"Jl. Lb. Sari No.37-39, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","spa,lodging,point_of_interest,establishment",861,4.3
102,Kutabex Beach Front Hotel,ChIJxexbPrxG0i0R00nCODb24_4,"Jalan Pantai Kuta, Banjar Pande Mas, Kuta, Badung Regency, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2238,4.2
